catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
450459241,NIKON D7500,200.0-500.0 mm f/5.6,1000,500 mm,Flash did not fire,f/6.3,1/125 sec,4048 pixels x 2699 pixels,2.44 MB,,,,,Black-and-white Warbler,Mniotilta varia,Kade Damant,2022-05-18,2022,4.9,41,North America,4.9
81371301,Canon EOS 7D Mark II,EF300mm f/2.8L IS USM +2x III,1600,600 mm,"Flash did not fire, auto",f/5.6,1/2000 sec,1500 pixels x 1951 pixels,2.63 MB,,,,,Wallcreeper,Tichodroma muraria,Lefteris Stavrakas,2018-01-07,2018,4.9,67,Europe,4.9
524817841,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,320,600 mm,Flash did not fire,f/8.0,1/2000 sec,3371 pixels x 2528 pixels,852.21 KB,,,,,Hen Harrier,Circus cyaneus,Tasos Tsonis,2023-01-12,2023,4.9,21,Europe,4.9
287096631,NIKON D500,,3200,500 mm,Flash did not fire,f/5.6,1/8000 sec,3978 pixels x 2652 pixels,6.4 MB,,,,,Cape Teal,Anas capensis,Gerd Schön,2017-04-18,2017,4.9,52,Africa,4.9
204110111,Canon EOS-1D X,EF500mm f/4L IS USM,2000,500 mm,"Flash did not fire, auto",f/8.0,1/3200 sec,1000 pixels x 667 pixels,488.46 KB,,,,,European Roller,Coracias garrulus,Janos  Olah,2017-06-24,2017,4.9,50,Europe,4.9
65699621,NIKON D750,200.0-500.0 mm f/5.6,2800,500 mm,"Flash did not fire, auto",f/5.6,1/400 sec,1406 pixels x 1758 pixels,1.61 MB,,,,,Buff-fronted Owl,Aegolius harrisii,Cesar Gustavo Chillon Solano,2017-08-07,2017,4.9,31,South America,4.9
299586541,Canon EOS 7D Mark II,EF300mm f/4L IS USM,400,300 mm,Flash did not fire,f/4.5,1/5000 sec,2546 pixels x 1840 pixels,720.69 KB,,,,,Barrow's Goldeneye,Bucephala islandica,Nora Papian,2021-01-18,2021,4.9,61,North America,4.9
127614761,Canon EOS 7D,TAMRON SP 150-600mm F/5-6.3 Di VC USD A011,400,309 mm,"Flash did not fire, auto",f/8.0,1/1000 sec,4698 pixels x 3132 pixels,8.1 MB,,,,,Corn Crake,Crex crex,Oree Efroni Naor,2018-04-20,2018,4.9,59,Asia,4.9
84999151,Canon EOS 7D Mark II,EF500mm f/4L IS USM +1.4x,400,700 mm,"Flash did not fire, auto",f/5.6,1/800 sec,1620 pixels x 1080 pixels,258.14 KB,,,,,Whooping Crane,Grus americana,Bill Morris,2018-01-22,2018,4.9,67,North America,4.9
179752991,Canon EOS 80D,EF400mm f/5.6L USM,400,400 mm,"Flash did not fire, auto",f/7.1,1/1600 sec,2048 pixels x 1365 pixels,991.66 KB,,,,,Leach's Storm-Petrel,Hydrobates leucorhous,Nick Tepper,2019-09-30,2019,4.9,119,North America,4.9
518020801,Canon EOS Rebel SL3,EF100-400mm f/4.5-5.6L IS II USM,320,400 mm,Flash did not fire,f/6.3,1/640 sec,1531 pixels x 1591 pixels,3.02 MB,,,,,Brown Pelican,Pelecanus occidentalis,Jill Casperson,2022-12-29,2022,4.9,61,North America,4.9
65826261,Canon EOS 7D Mark II,TAMRON SP 150-600mm F/5-6.3 Di VC USD A011,800,450 mm,"Flash did not fire, auto",f/6.3,1/1600 sec,3831 pixels x 2554 pixels,1.75 MB,,,,,American Bittern,Botaurus lentiginosus,Sean Evans,2016-07-17,2016,4.9,135,North America,4.9
535848441,OM-1,OLYMPUS M.100-400mm F5.0-6.3,400,400 mm,"Flash did not fire, red-eye reduction",f/8.0,1/1250 sec,2000 pixels x 1194 pixels,1.6 MB,,,,,Eastern Yellow Wagtail,Motacilla tschutschensis,Alex Colorado,2023-02-16,2023,4.9,30,Europe,4.9
