catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
193863851,NIKON D7500,,800,420 mm,"Flash did not fire, auto",f/5.6,1/8000 sec,2048 pixels x 1365 pixels,1.33 MB,,,,,Andean Gull,Chroicocephalus serranus,Marie O'Neill,2019-11-26,2019,4.9,52,South America
287096631,NIKON D500,,3200,500 mm,Flash did not fire,f/5.6,1/8000 sec,3978 pixels x 2652 pixels,6.4 MB,,,,,Cape Teal,Anas capensis,Gerd Schön,2017-04-18,2017,4.9,52,Africa
512445881,Canon EOS 80D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,2500,600 mm,Flash did not fire,f/7.1,0.02 sec,4458 pixels x 3344 pixels,1.23 MB,,,,,Blue-throated Flycatcher,Cyornis rubeculoides,Mahim B,2022-12-09,2022,4.9,31,Asia
223110621,Canon PowerShot SX60 HS,3.8-247.0 mm,100,221.1 mm,"Flash did not fire, auto",f/6.3,1/500 sec,2972 pixels x 1981 pixels,517.92 KB,,,,,Torrent Duck,Merganetta armata,Maria del Castillo,2019-02-04,2019,4.9,21,South America
524104461,NIKON D500,200.0-500.0 mm f/5.6,10000,500 mm,Flash did not fire,f/5.6,1/4000 sec,2500 pixels x 1787 pixels,2.62 MB,,,,,Canyon Wren,Catherpes mexicanus,Jennifer Berger,2023-01-14,2023,4.9,68,North America
100440531,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,160,400 mm,"Flash did not fire, auto",f/6.3,1/640 sec,1752 pixels x 1031 pixels,1.24 MB,,,,,Eastern Spinebill,Acanthorhynchus tenuirostris,shorty w,2018-05-16,2018,4.9,30,Australia
183921691,NIKON D800E,200.0-500.0 mm f/5.6,3200,500 mm,"Flash did not fire, auto",f/7.1,1/1000 sec,2400 pixels x 1602 pixels,3.16 MB,,,,,Brown Quail,Synoicus ypsilophorus,Chris Rehberg  | Sydney Birding,2019-10-24,2019,4.9,30,Australia
410310451,Canon EOS 5D Mark IV,150-600mm F5-6.3 DG OS HSM | Contemporary 015,5000,600 mm,Flash did not fire,f/6.3,1/800 sec,5682 pixels x 3788 pixels,10.24 MB,,,,,Golden-crowned Sparrow,Zonotrichia atricapilla,Maxwell Giffen,2022-01-27,2022,4.9,49,North America
518020801,Canon EOS Rebel SL3,EF100-400mm f/4.5-5.6L IS II USM,320,400 mm,Flash did not fire,f/6.3,1/640 sec,1531 pixels x 1591 pixels,3.02 MB,,,,,Brown Pelican,Pelecanus occidentalis,Jill Casperson,2022-12-29,2022,4.9,61,North America
626543189,Canon EOS R8,RF200-800mm F6.3-9 IS USM,500,570 mm,Flash did not fire,f/9.0,1/1250 sec,5227 pixels x 3485 pixels,9.92 MB,,,,,Dark-bellied Cinclodes,Cinclodes patagonicus,graichen & recer,2024-11-08,2024,4.9,51,South America
